CaseID,ActivityID,timestamp,related_objects,weight,price
990002,2,2019-05-23 14:48:41,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990002,8,2019-05-23 19:14:00,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990003,5,2019-05-20 12:30:30,880009:880010:880012:880011,0.994,2468.99
990003,17,2019-05-20 12:34:16,880009:880010:880012:880011,0.994,2468.99
990003,21,2019-05-20 15:19:49,880009,0.44,476.0
990003,4,2019-05-20 17:51:15,880011,0.2,39.99
990003,4,2019-05-21 09:43:01,880010,0.166,799.0
990003,22,2019-05-21 10:41:07,880009:880010:880012:880011,0.994,2468.99
990003,4,2019-05-21 14:58:29,880012,0.188,1149.0
990003,15,2019-05-22 16:52:23,880009,0.44,476.0
990003,1,2019-05-24 15:49:44,880028:880026:880023:880077:880010:880012:880078:880024:880113:880011:880025,4.755,4659.96
990003,4,2019-05-24 17:26:40,880009,0.44,476.0
990003,6,2019-05-27 09:50:01,880028:880026:880023:880077:880010:880012:880078:880024:880113:880011:880025,4.755,4659.96
990003,8,2019-05-27 12:39:25,880028:880026:880023:880077:880010:880012:880078:880024:880113:880011:880025,4.755,4659.96
990003,1,2019-05-29 16:14:37,880009:880114:880112:880027,1.413,1174.98
990003,6,2019-05-30 10:19:45,880009:880114:880112:880027,1.413,1174.98
990003,8,2019-05-31 11:00:07,880009:880114:880112:880027,1.413,1174.98
990004,5,2019-05-20 14:20:47,880014:880013,2.46,334.98
990004,4,2019-05-20 16:56:02,880014,0.98,129.99
990004,17,2019-05-20 18:36:37,880014:880013,2.46,334.98
990004,4,2019-05-21 12:39:01,880013,1.48,199.99
990004,1,2019-05-24 10:49:32,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990004,6,2019-05-27 10:40:13,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990004,2,2019-05-27 14:56:21,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990004,8,2019-05-28 12:42:06,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990004,16,2019-06-09 18:36:37,880014:880013,2.46,334.98
990004,22,2019-06-13 10:57:55,880014:880013,2.46,334.98
990005,5,2019-05-20 16:01:22,880016:880015,0.923,1580.0
990005,17,2019-05-21 10:34:23,880016:880015,0.923,1580.0
990005,4,2019-05-22 11:18:26,880015,0.483,1099.0
990005,4,2019-05-22 15:24:59,880016,0.44,476.0
990005,1,2019-05-28 09:49:33,880158:880161:880162:880015:880016,4.026,6770.0
990005,6,2019-05-28 16:20:29,880158:880161:880162:880015:880016,4.026,6770.0
990005,8,2019-05-29 12:01:39,880158:880161:880162:880015:880016,4.026,6770.0
990005,16,2019-06-10 10:34:23,880016:880015,0.923,1580.0
990005,16,2019-06-30 10:34:23,880016:880015,0.923,1580.0
990005,22,2019-07-03 17:07:23,880016:880015,0.923,1580.0
990006,5,2019-05-20 17:22:31,880017:880018:880019,1.432,923.98
990006,4,2019-05-21 08:55:41,880019,0.172,699.0
990006,4,2019-05-21 12:15:15,880017,0.98,129.99
990006,17,2019-05-21 14:55:05,880017:880018:880019,1.432,923.98
990006,4,2019-05-22 10:17:48,880018,0.28,89.99
990006,1,2019-05-25 01:00:00,880065:880017:880018:880068:880019:880067,2.325,1982.97
990006,6,2019-05-27 20:29:32,880065:880017:880018:880068:880019:880067,2.325,1982.97
990006,8,2019-05-29 09:50:36,880065:880017:880018:880068:880019:880067,2.325,1982.97
990006,22,2019-05-31 21:05:52,880017:880018:880019,1.432,923.98
990007,5,2019-05-20 19:04:49,880021:880020:880022,1.855,293.98
990007,4,2019-05-21 10:49:44,880022,0.495,129.0
990007,17,2019-05-21 14:33:48,880021:880020:880022,1.855,293.98
990007,4,2019-05-21 17:02:33,880020,0.98,129.99
990007,1,2019-05-24 10:49:32,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990007,4,2019-05-27 09:53:59,880021,0.38,29.99
990007,6,2019-05-27 10:40:13,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990007,2,2019-05-27 14:56:21,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990007,8,2019-05-28 12:42:06,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990007,1,2019-05-29 15:38:06,880104:880021:880105:880107,1.136,1387.98
990007,6,2019-05-30 10:10:22,880104:880021:880105:880107,1.136,1387.98
990007,8,2019-05-30 12:02:46,880104:880021:880105:880107,1.136,1387.98
990007,16,2019-06-10 14:33:48,880021:880020:880022,1.855,293.98
990007,22,2019-06-14 09:57:38,880021:880020:880022,1.855,293.98
990008,5,2019-05-20 21:49:13,880028:880026:880023:880024:880027:880025,3.755,1428.97
990008,4,2019-05-21 13:42:40,880024,0.495,129.0
990008,4,2019-05-21 14:56:24,880025,1.28,149.99
990008,4,2019-05-21 15:02:54,880026,0.98,129.99
990008,4,2019-05-21 15:26:17,880028,0.28,449.0
990008,21,2019-05-21 15:51:03,880027,0.28,89.99
990008,15,2019-05-21 16:51:49,880027,0.28,89.99
990008,17,2019-05-22 10:34:00,880028:880026:880023:880024:880027:880025,3.755,1428.97
990008,22,2019-05-22 13:31:24,880028:880026:880023:880024:880027:880025,3.755,1428.97
990008,4,2019-05-22 17:13:56,880023,0.44,476.0
990008,1,2019-05-24 15:49:44,880028:880026:880023:880077:880010:880012:880078:880024:880113:880011:880025,4.755,4659.96
990008,6,2019-05-27 09:50:01,880028:880026:880023:880077:880010:880012:880078:880024:880113:880011:880025,4.755,4659.96
990008,4,2019-05-27 10:33:28,880027,0.28,89.99
990008,8,2019-05-27 12:39:25,880028:880026:880023:880077:880010:880012:880078:880024:880113:880011:880025,4.755,4659.96
990008,1,2019-05-29 16:14:37,880009:880114:880112:880027,1.413,1174.98
990008,6,2019-05-30 10:19:45,880009:880114:880112:880027,1.413,1174.98
990008,8,2019-05-31 11:00:07,880009:880114:880112:880027,1.413,1174.98
990009,5,2019-05-21 07:13:12,880032:880034:880029:880033:880031:880030,3.013,1370.98
990009,4,2019-05-21 08:23:42,880030,0.483,79.99
990009,21,2019-05-21 09:14:32,880029,0.495,129.0
990009,17,2019-05-21 13:40:12,880032:880034:880029:880033:880031:880030,3.013,1370.98
990009,4,2019-05-21 14:14:14,880031,0.28,449.0
990009,4,2019-05-21 15:32:29,880032,0.28,449.0
990009,4,2019-05-22 09:49:11,880033,0.495,129.0
990009,1,2019-05-23 11:00:25,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990009,6,2019-05-23 14:22:59,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990009,2,2019-05-23 14:48:41,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990009,4,2019-05-23 16:07:14,880034,0.98,129.99
990009,15,2019-05-23 18:54:48,880029,0.495,129.0
990009,8,2019-05-23 19:14:00,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990009,1,2019-05-28 17:21:54,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990009,6,2019-05-29 14:30:00,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990009,8,2019-05-29 16:14:22,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990009,4,2019-05-30 19:28:01,880029,0.495,129.0
990009,1,2019-05-31 19:05:24,880222:880141:880029:880221:880144:880142:880272,4.891,3473.96
990009,6,2019-06-03 14:07:59,880222:880141:880029:880221:880144:880142:880272,4.891,3473.96
990009,8,2019-06-04 10:32:16,880222:880141:880029:880221:880144:880142:880272,4.891,3473.96
990009,22,2019-06-05 12:51:54,880032:880034:880029:880033:880031:880030,3.013,1370.98
990010,5,2019-05-21 09:58:19,880036:880035,0.978,213.99
990010,4,2019-05-21 12:47:10,880036,0.483,79.99
990010,21,2019-05-21 12:57:36,880035,0.495,129.0
990010,17,2019-05-21 21:10:10,880036:880035,0.978,213.99
990010,15,2019-05-22 17:33:36,880035,0.495,129.0
990010,1,2019-05-27 11:49:13,880118:880128:880122:880121:880120:880129:880036,4.785,3784.96
990010,6,2019-05-28 12:29:53,880118:880128:880122:880121:880120:880129:880036,4.785,3784.96
990010,8,2019-05-28 15:50:34,880118:880128:880122:880121:880120:880129:880036,4.785,3784.96
990010,4,2019-05-30 12:41:03,880035,0.495,129.0
990010,1,2019-05-30 17:36:37,880184:880166:880183:880164:880165:880035,4.54,3153.98
990010,6,2019-06-03 11:23:31,880184:880166:880183:880164:880165:880035,4.54,3153.98
990010,8,2019-06-03 16:37:21,880184:880166:880183:880164:880165:880035,4.54,3153.98
990010,16,2019-06-10 21:10:10,880036:880035,0.978,213.99
990010,22,2019-06-14 08:33:46,880036:880035,0.978,213.99
990011,5,2019-05-21 12:16:25,880038:880039:880040:880037,1.942,1472.98
990011,17,2019-05-21 12:55:17,880038:880039:880040:880037,1.942,1472.98
990011,4,2019-05-22 14:18:39,880038,0.172,699.0
990011,4,2019-05-23 10:45:43,880040,0.21,529.0
990011,1,2019-05-23 11:00:25,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990011,4,2019-05-23 13:39:57,880039,0.28,89.99
990011,6,2019-05-23 14:22:59,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990011,22,2019-05-23 14:24:31,880038:880039:880040:880037,1.942,1472.98
990011,2,2019-05-23 14:48:41,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990011,8,2019-05-23 19:14:00,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990011,4,2019-05-28 16:41:43,880037,1.28,149.99
990011,1,2019-05-28 17:21:54,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990011,6,2019-05-29 14:30:00,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990011,8,2019-05-29 16:14:22,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990012,5,2019-05-21 13:52:38,880043:880045:880047:880044:880041:880042:880046,3.237,2761.99
990012,17,2019-05-21 16:44:36,880043:880045:880047:880044:880041:880042:880046,3.237,2761.99
990012,21,2019-05-21 19:19:13,880046,0.495,129.0
990012,4,2019-05-22 11:00:23,880043,0.44,476.0
990012,4,2019-05-22 11:36:46,880047,0.172,699.0
990012,4,2019-05-22 11:47:12,880041,0.98,129.99
990012,21,2019-05-23 10:19:26,880045,0.495,129.0
990012,15,2019-05-23 10:27:00,880046,0.495,129.0
990012,1,2019-05-23 11:00:25,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990012,6,2019-05-23 14:22:59,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990012,2,2019-05-23 14:48:41,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990012,4,2019-05-23 17:26:26,880042,0.483,495.0
990012,8,2019-05-23 19:14:00,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990012,15,2019-05-27 09:35:00,880045,0.495,129.0
990012,4,2019-05-28 12:19:52,880044,0.172,699.0
990012,4,2019-05-28 17:21:54,880046,0.495,129.0
990012,1,2019-05-28 17:21:54,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990012,6,2019-05-29 14:30:00,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990012,8,2019-05-29 16:14:22,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990012,4,2019-06-03 19:30:05,880045,0.495,129.0
990012,1,2019-06-05 09:43:33,880178:880340:880045:880284:880342,2.227,1027.97
990012,6,2019-06-05 15:08:57,880178:880340:880045:880284:880342,2.227,1027.97
990012,2,2019-06-05 16:25:21,880178:880340:880045:880284:880342,2.227,1027.97
990012,8,2019-06-05 21:36:36,880178:880340:880045:880284:880342,2.227,1027.97
990012,22,2019-06-06 17:01:11,880043:880045:880047:880044:880041:880042:880046,3.237,2761.99
990013,5,2019-05-21 16:05:03,880052:880053:880050:880049:880051:880048,3.194,3127.97
990013,4,2019-05-21 17:15:32,880049,0.483,1099.0
990013,17,2019-05-21 21:40:22,880052:880053:880050:880049:880051:880048,3.194,3127.97
990013,21,2019-05-22 09:29:44,880050,0.188,1149.0
990013,21,2019-05-22 09:31:49,880053,1.48,199.99
990013,4,2019-05-22 09:37:12,880048,0.28,89.99
990013,4,2019-05-22 16:07:56,880051,0.28,89.99
990013,1,2019-05-23 11:00:25,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990013,15,2019-05-23 12:09:19,880050,0.188,1149.0
990013,6,2019-05-23 14:22:59,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990013,2,2019-05-23 14:48:41,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990013,8,2019-05-23 19:14:00,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990013,15,2019-05-24 12:01:37,880053,1.48,199.99
990013,4,2019-05-27 14:01:57,880052,0.483,495.0
990013,1,2019-05-28 17:21:54,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990013,22,2019-05-29 11:06:49,880052:880053:880050:880049:880051:880048,3.194,3127.97
990013,6,2019-05-29 14:30:00,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990013,8,2019-05-29 16:14:22,880037:880052:880034:880140:880139:880039:880179:880143:880180:880044:880042:880046,6.3420000000000005,4691.95
990013,4,2019-06-17 14:24:54,880050,0.188,1149.0
990013,1,2019-06-17 15:48:31,880476:880050:880339:880656:880341:880477,3.794,2707.96
990013,6,2019-06-18 13:41:56,880476:880050:880339:880656:880341:880477,3.794,2707.96
990013,8,2019-06-18 14:55:46,880476:880050:880339:880656:880341:880477,3.794,2707.96
990013,4,2019-06-28 17:45:57,880053,1.48,199.99
990013,1,2019-07-01 14:59:43,880053:880800:880971:880819:880655,3.468,1984.97
990013,6,2019-07-02 09:22:35,880053:880800:880971:880819:880655,3.468,1984.97
990013,8,2019-07-03 16:37:19,880053:880800:880971:880819:880655,3.468,1984.97
990014,5,2019-05-21 17:29:53,880055:880056:880054:880057:880058,3.696,3239.97
990014,21,2019-05-22 10:22:31,880055,0.38,29.99
990014,4,2019-05-22 10:52:34,880058,0.483,495.0
990014,4,2019-05-22 11:13:31,880054,0.98,129.99
990014,15,2019-05-22 14:29:53,880055,0.38,29.99
990014,4,2019-05-22 17:38:56,880057,1.37,2500.0
990014,17,2019-05-23 09:09:23,880055:880056:880054:880057:880058,3.696,3239.97
990014,4,2019-05-23 12:53:00,880056,0.483,79.99
990014,22,2019-05-24 09:37:42,880055:880056:880054:880057:880058,3.696,3239.97
990014,1,2019-05-27 16:26:44,880076:880110:880074:880075:880056:880054:880146:880057:880058,5.968999999999999,4143.94
990014,6,2019-05-27 18:57:39,880076:880110:880074:880075:880056:880054:880146:880057:880058,5.968999999999999,4143.94
990014,8,2019-05-28 17:52:39,880076:880110:880074:880075:880056:880054:880146:880057:880058,5.968999999999999,4143.94
990014,4,2019-06-05 09:17:23,880055,0.38,29.99
990014,1,2019-06-05 16:31:53,880358:880241:880243:880055,2.42,249.96
990014,6,2019-06-06 12:40:22,880358:880241:880243:880055,2.42,249.96
990014,8,2019-06-07 10:46:15,880358:880241:880243:880055,2.42,249.96
990015,5,2019-05-21 19:19:34,880064:880062:880063:880061:880060:880059,4.095,5989.98
990015,4,2019-05-21 20:34:29,880059,0.172,699.0
990015,17,2019-05-22 12:40:14,880064:880062:880063:880061:880060:880059,4.095,5989.98
990015,4,2019-05-22 16:54:39,880064,1.25,2200.0
990015,4,2019-05-23 10:53:08,880063,0.483,79.99
990015,21,2019-05-23 11:08:24,880062,0.44,476.0
990015,15,2019-05-23 12:33:06,880062,0.44,476.0
990015,4,2019-05-24 15:49:44,880062,0.44,476.0
990015,1,2019-05-27 15:11:01,880063:880064:880059:880062,2.345,3454.99
990015,4,2019-05-28 09:49:33,880061,1.37,2500.0
990015,6,2019-05-28 11:03:28,880063:880064:880059:880062,2.345,3454.99
990015,4,2019-05-28 16:42:56,880060,0.38,29.99
990015,8,2019-05-28 20:08:20,880063:880064:880059:880062,2.345,3454.99
990015,22,2019-05-30 09:05:10,880064:880062:880063:880061:880060:880059,4.095,5989.98
990015,1,2019-05-30 15:56:05,880170:880172:880174:880061:880060:880173:880168,5.6560000000000015,6033.97
990015,6,2019-05-31 12:07:26,880170:880172:880174:880061:880060:880173:880168,5.6560000000000015,6033.97
990015,8,2019-05-31 12:59:10,880170:880172:880174:880061:880060:880173:880168,5.6560000000000015,6033.97
990016,5,2019-05-21 22:18:43,880066:880068:880067:880065,1.081,2217.99
990016,21,2019-05-22 11:14:47,880065,0.483,495.0
990016,4,2019-05-22 11:45:06,880068,0.2,39.99
990016,15,2019-05-22 15:44:52,880065,0.483,495.0
990016,4,2019-05-22 17:19:25,880067,0.21,529.0
990016,21,2019-05-23 09:26:37,880066,0.188,1149.0
990016,17,2019-05-23 11:58:56,880066:880068:880067:880065,1.081,2217.99
990016,4,2019-05-23 15:34:32,880065,0.483,495.0
990016,1,2019-05-25 01:00:00,880065:880017:880018:880068:880019:880067,2.325,1982.97
990016,15,2019-05-27 11:36:36,880066,0.188,1149.0
990016,4,2019-05-27 15:11:01,880066,0.188,1149.0
990016,6,2019-05-27 20:29:32,880065:880017:880018:880068:880019:880067,2.325,1982.97
990016,22,2019-05-28 09:13:13,880066:880068:880067:880065,1.081,2217.99
990016,8,2019-05-29 09:50:36,880065:880017:880018:880068:880019:880067,2.325,1982.97
990016,1,2019-05-30 01:00:00,880066:880220:880190:880219:880186:880232:880233:880188:880218:880229:880187,3.613,5193.97
990016,6,2019-05-30 14:38:24,880066:880220:880190:880219:880186:880232:880233:880188:880218:880229:880187,3.613,5193.97
990016,2,2019-05-30 16:34:12,880066:880220:880190:880219:880186:880232:880233:880188:880218:880229:880187,3.613,5193.97
990016,2,2019-05-31 10:30:10,880066:880220:880190:880219:880186:880232:880233:880188:880218:880229:880187,3.613,5193.97
990016,2,2019-05-31 14:58:13,880066:880220:880190:880219:880186:880232:880233:880188:880218:880229:880187,3.613,5193.97
990016,8,2019-05-31 16:18:19,880066:880220:880190:880219:880186:880232:880233:880188:880218:880229:880187,3.613,5193.97
990017,5,2019-05-22 08:29:00,880070:880073:880071:880069:880072,1.919,1646.99
990017,17,2019-05-22 10:21:25,880070:880073:880071:880069:880072,1.919,1646.99
990017,4,2019-05-22 11:06:36,880070,0.483,495.0
990017,4,2019-05-22 11:34:42,880069,0.495,129.0
990017,4,2019-05-22 16:14:21,880071,0.495,129.0
990017,4,2019-05-23 08:44:21,880072,0.166,799.0
990017,4,2019-05-24 10:49:32,880073,0.28,89.99
990017,1,2019-05-24 10:49:32,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990017,6,2019-05-27 10:40:13,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990017,2,2019-05-27 14:56:21,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990017,8,2019-05-28 12:42:06,880103:880109:880014:880070:880073:880071:880069:880022:880072:880106:880020:880013,7.401,3148.95
990017,22,2019-05-29 10:35:55,880070:880073:880071:880069:880072,1.919,1646.99
990018,5,2019-05-22 10:33:18,880076:880075:880074,1.97,823.98
990018,21,2019-05-22 11:39:24,880074,0.21,529.0
990018,4,2019-05-22 13:53:26,880076,0.28,89.99
990018,17,2019-05-22 14:44:07,880076:880075:880074,1.97,823.98
990018,22,2019-05-23 15:19:51,880076:880075:880074,1.97,823.98
990018,15,2019-05-23 15:28:01,880074,0.21,529.0
990018,4,2019-05-23 16:46:01,880075,1.48,199.99
990018,4,2019-05-24 14:07:48,880074,0.21,529.0
990018,1,2019-05-27 16:26:44,880076:880110:880074:880075:880056:880054:880146:880057:880058,5.968999999999999,4143.94
990018,6,2019-05-27 18:57:39,880076:880110:880074:880075:880056:880054:880146:880057:880058,5.968999999999999,4143.94
990018,8,2019-05-28 17:52:39,880076:880110:880074:880075:880056:880054:880146:880057:880058,5.968999999999999,4143.94
990019,5,2019-05-22 12:26:23,880077:880078,0.446,893.99
990019,17,2019-05-22 15:42:38,880077:880078,0.446,893.99
990019,4,2019-05-23 08:42:25,880077,0.166,799.0
990019,4,2019-05-23 16:16:20,880078,0.28,89.99
990019,1,2019-05-24 15:49:44,880028:880026:880023:880077:880010:880012:880078:880024:880113:880011:880025,4.755,4659.96
990019,6,2019-05-27 09:50:01,880028:880026:880023:880077:880010:880012:880078:880024:880113:880011:880025,4.755,4659.96
990019,8,2019-05-27 12:39:25,880028:880026:880023:880077:880010:880012:880078:880024:880113:880011:880025,4.755,4659.96
990019,16,2019-06-11 15:42:38,880077:880078,0.446,893.99
990019,22,2019-06-13 10:15:04,880077:880078,0.446,893.99
990020,5,2019-05-22 14:12:34,880081:880079:880080,3.48,4534.99
990020,17,2019-05-23 13:04:43,880081:880079:880080,3.48,4534.99
990020,4,2019-05-23 13:32:53,880080,0.98,129.99
990020,21,2019-05-23 16:07:36,880079,1.25,2200.0
990020,15,2019-05-24 09:21:25,880079,1.25,2200.0
990020,4,2019-05-24 14:22:07,880081,1.25,2200.0
990020,4,2019-05-28 14:51:35,880079,1.25,2200.0
990020,1,2019-05-28 16:07:01,880079:880202:880081:880125:880080,4.74,4649.97
990020,6,2019-05-29 16:16:17,880079:880202:880081:880125:880080,4.74,4649.97
990020,8,2019-05-29 20:01:33,880079:880202:880081:880125:880080,4.74,4649.97
990020,22,2019-05-31 14:55:51,880081:880079:880080,3.48,4534.99
990021,5,2019-05-22 15:44:55,880082:880085:880087:880086:880083:880084,2.651,2535.99
990021,4,2019-05-23 17:01:33,880087,0.188,1149.0
990021,17,2019-05-23 22:00:00,880082:880085:880087:880086:880083:880084,2.651,2535.99
990021,4,2019-05-24 09:41:01,880084,0.21,529.0
990021,21,2019-05-24 14:39:58,880082,0.483,495.0
990021,15,2019-05-24 17:48:27,880082,0.483,495.0
990021,4,2019-05-27 10:25:30,880083,0.495,129.0
990021,22,2019-05-27 12:19:36,880082:880085:880087:880086:880083:880084,2.651,2535.99
990021,4,2019-05-27 12:21:13,880085,0.495,129.0
990021,4,2019-05-27 17:00:36,880082,0.483,495.0
990021,1,2019-05-29 11:18:17,880082:880087:880085:880133:880083:880134:880175:880084:880131,3.616,3828.98
990021,21,2019-05-29 14:23:06,880086,0.78,99.99
990021,6,2019-05-29 19:29:05,880082:880087:880085:880133:880083:880134:880175:880084:880131,3.616,3828.98
990021,8,2019-05-30 10:34:44,880082:880087:880085:880133:880083:880134:880175:880084:880131,3.616,3828.98
990021,15,2019-05-30 16:47:55,880086,0.78,99.99
990021,4,2019-06-04 10:18:03,880086,0.78,99.99
990021,1,2019-06-06 10:21:38,880368:880320:880369:880322:880177:880086:880370:880371:880318,4.3180000000000005,4145.95
990021,6,2019-06-06 10:56:40,880368:880320:880369:880322:880177:880086:880370:880371:880318,4.3180000000000005,4145.95
990021,8,2019-06-06 15:45:51,880368:880320:880369:880322:880177:880086:880370:880371:880318,4.3180000000000005,4145.95
990022,5,2019-05-22 17:49:37,880088:880089:880091:880090,3.102,3802.99
990022,4,2019-05-23 10:03:08,880090,0.172,699.0
990022,21,2019-05-23 11:07:19,880091,0.28,449.0
990022,17,2019-05-23 11:23:05,880088:880089:880091:880090,3.102,3802.99
990022,15,2019-05-23 12:13:24,880091,0.28,449.0
990022,4,2019-05-24 13:23:15,880088,1.28,149.99
990022,4,2019-05-27 15:29:21,880091,0.28,449.0
990022,4,2019-05-28 11:12:33,880089,1.37,2500.0
990022,1,2019-05-28 11:12:33,880089:880148:880091:880088:880092:880123:880090,5.445,4522.97
990022,6,2019-05-28 15:57:57,880089:880148:880091:880088:880092:880123:880090,5.445,4522.97
990022,8,2019-05-29 09:08:16,880089:880148:880091:880088:880092:880123:880090,5.445,4522.97
990022,22,2019-06-03 11:04:21,880088:880089:880091:880090,3.102,3802.99
990023,5,2019-05-22 20:08:26,880092:880093,2.76,354.98
